"Título,""CECO"",""NombreCeco"",""TipoCeco"""
"Finanzas General,""20001"",""20001 - Finanzas General"",""Interno"""
"Finanzas y Operaciones ,""20002"",""20002 - Finanzas y Operaciones "",""Interno"""
"Desarrollo Organizacional,""20003"",""20003 - Desarrollo Organizacional"",""Interno"""
"Operaciones,""20004"",""20004 - Operaciones"",""Interno"""
"Servicios Generales,""20005"",""20005 - Servicios Generales"",""Interno"""
"Formacion,""20006"",""20006 - Formacion"",""Unidad de Negocio"""
"TI,""20131"",""20131 - TI"",""Interno"""
"Cursos Internos Fundación,""20132"",""20132 - Cursos Internos Fundación"",""Interno"""
"Sofofa Servicios,""20133"",""20133 - Sofofa Servicios"",""Interno"""
"Cursos Téc y Bec Fun,""20134"",""20134 - Cursos Téc y Bec Fun"",""Interno"""
"Gestión de Clientes,""20136"",""20136 - Gestión de Clientes"",""Interno"""
"Sucursal Concepción,""20137"",""20137 - Sucursal Concepción"",""Externo"""
"Plataforma,""20138"",""20138 - Plataforma"",""Unidad de Negocio"""
"Innovación,""20139"",""20139 - Innovación"",""Interno"""
"Gestión del Conocimiento,""20140"",""20140 - Gestión del Conocimiento"",""Unidad de Negocio"""
"Metro,""20141"",""20141 - Metro"",""Externo"""
"Gerencias,""20143"",""20143 - Gerencias"",""Interno"""
"Academia Latam,""20144"",""20144 - Academia Latam"",""Externo"""
"Gastos Inversión Academia,""20150"",""20150 - Gastos Inversión Academia"",""Externo"""
"Academia Leonera,""20146"",""20146 - Academia Leonera"",""Externo"""
"Comunicaciones,""20147"",""20147 - Comunicaciones"",""Interno"""
"Control de Gestión,""20148"",""20148 - Control de Gestión"",""Interno"""
"Diseño,""20149"",""20149 - Diseño"",""Unidad de Negocio"""
"Academia Forma,""20150"",""20150 - Academia Forma"",""Externo"""
"Gestion Interna,""20151"",""20151 - Gestion Interna"",""Externo"""
"Academia Carozzi,""20152"",""20152 - Academia Carozzi"",""Externo"""
"Academia SQM,""20135"",""20135 - Academia SQM"",""externo"""
"Inversiones SQM,""20153"",""20153 - Inversiones SQM"",""externo"""
