"CodCliente,""Cliente"",""CodigoCliente"""
"5,""Lucchetti"",""Lucchetti-5"""
"10,""Head"",""Head-10"""
"16,""Rhona"",""Rhona-16"""
"24,""Agrosuper"",""Agrosuper-24"""
"78,""Celulosa Arauco"",""Celulosa Arauco-78"""
"79,""Arauco"",""Arauco-79"""
"80,""Comaco"",""Comaco-80"""
"94,""Saesa"",""Saesa-94"""
"112,""Comapa"",""Comapa-112"""
"125,""Aguas Andinas"",""Aguas Andinas-125"""
"146,""Carozzi"",""Carozzi-146"""
"151,""Cencosud"",""Cencosud-151"""
"156,""Zurich"",""Zurich-156"""
"161,""Cocha"",""Cocha-161"""
"163,""Coembal"",""Coembal-163"""
"167,""Copec"",""Copec-167"""
"187,""Lipigas"",""Lipigas-187"""
"210,""Iansa"",""Iansa-210"""
"228,""Latam"",""Latam-228"""
"230,""Regnum Christi"",""Regnum Christi-230"""
"239,""Mc Donald´S"",""Mc Donald´S-239"""
"250,""Nestle"",""Nestle-250"""
"253,""Cmpc"",""Cmpc-253"""
"280,""Soprole"",""Soprole-280"""
"303,""Bailac"",""Bailac-303"""
"346,""Bo"",""Bo-346"""
"3418,""Apl Logistics"",""Apl Logistics-3418"""
"3940,""Metro"",""Metro-3940"""
"4590,""Ewos"",""Ewos-4590"""
"7563,""Catamutun Energia S.A."",""Catamutun Energia S.A.-7563"""
"7675,""Akva"",""Akva-7675"""
"9803,""Payroll"",""Payroll-9803"""
"9922,""ACME"",""ACME-9922"""
"10703,""Jungheinrich"",""Jungheinrich-10703"""
"10744,""Afp Modelo"",""Afp Modelo-10744"""
"11392,""Grupo Aula"",""Grupo Aula-11392"""
"11560,""Ecometales"",""Ecometales-11560"""
"11861,""Atlas Copco"",""Atlas Copco-11861"""
"90030,""Fusat"",""Fusat-90030"""
"90072,""Holding Ezentis"",""Holding Ezentis-90072"""
"90086,""Grupo Leonera"",""Grupo Leonera-90086"""
"90135,""Pedro De Valdivia"",""Pedro De Valdivia-90135"""
"90140,""Bata"",""Bata-90140"""
"90190,""Grupo Bimbo"",""Grupo Bimbo-90190"""
"90211,""Enap"",""Enap-90211"""
"90212,""Abn Avanza"",""Abn Avanza-90212"""
"90252,""ESSBIO"",""ESSBIO-90252"""
"90286,""Big Pet"",""Big Pet-90286"""
"90305,""Blue Home"",""Blue Home-90305"""
"1396,""Maxam"",""Maxam-1396"""
"1,""Clínica Alemana"",""Clínica Alemana-1"""
"4609,""Oviedo"",""Oviedo-4609"""
"2692,""Terminal Pacifico Sur Valparaíso"",""Terminal Pacifico Sur Valparaíso-2692"""
"1285,""Universidad De Magallanes"",""Universidad De Magallanes-1285"""
"10761,""Rotter Y Krauss"",""Rotter Y Krauss-10761"""
"778,""Teck Chile"",""Teck Chile-778"""
"8585,""Prosud"",""Prosud-8585"""
"4879,""GMO"",""GMO-4879"""
"272,""Santa Maria"",""Santa Maria-272"""
"279,""Sonda"",""Sonda-279"""
"8857,""Casa De Moneda"",""Casa De Moneda-8857"""
"6763,""Evalueserve Chile S.A."",""Evalueserve Chile S.A.-6763"""
"11718,""Explora"",""Explora-11718"""
"83,""Foodcorp"",""Foodcorp-83"""
"4039,""U Chile"",""U Chile-4039"""
"1906,""Universidad De La Frontera"",""Universidad De La Frontera-1906"""
"2609,""Universidad Del Bio Bio"",""Universidad Del Bio Bio-2609"""
"6353,""Gnl Quintero"",""Gnl Quintero-6353"""
"90047,""Fedex"",""Fedex-90047"""
"90066,""Ferriko"",""Ferriko-90066"""
"90081,""Gelymar"",""Gelymar-90081"""
