"ID,""TipoSolicitud"",""Estado"",""TipoDocumento"",""CECO"",""NombreProveedor"",""RutProveedor"",""Descripcion"",""Cantidad"",""Monto"",""DescripcionSolicitud"",""Datos adjuntos"",""RazonSocial"",""CodInterno"",""FechaInicio"",""FechaTermino"",""CantJornadas"",""PV"",""CoordinadorProyecto"",""TipoServicio"",""TipoProyecto"",""ObservacionEspecial"",""EmailEnvio"",""NProyecto"",""CodCliente"",""NomCurso"",""ModCurso"",""CantHoras"""
"1,""Interna"",""Solicitada"",""Factura"",""20131"",""Prueba"",""11111111-1"",""Teclado"",""1"",""50.000"",,""1"",,,,,,,,,,,,,,,,"
"2,""Cliente"",""Solicitada"",""Factura"",,""Prueba"",""11111111-1"",""Prueba"",""1"",""10.000"",""Prueba"",""0"",""cliente S.A."",""S123456789"",""24-06-2025"",""24-06-2025"",""1"",""7685483"",,,,,,,,,,"
"3,""Interna"",""Solicitada"",""Factura"",""20131"",""prueba"",""11111111-1"",""prueba"",""1"",""50.000"",,""1"",,,,,,,,,,,,,,,,"
"4,""Interna"",""Solicitada"",""Factura"",""20131"",""prueba"",""11111111-1"",""prueba"",""1"",""100.000"",,""1"",,,,,,,,,,,,,,,,"
"5,""Interna"",""Solicitada"",""Factura"",""TI"",""PC FACTORY S.A."",""78885550-8"",""Teclado"",""1"",""50.000"",,""1"",,,,,,,,,,,,,,,,"
"6,""Interna"",""Solicitada"",""Boleta de Honorarios"",""TI"",""Prueba"",""11111111-1"",""prueba"",""1"",""100.000"",,""1"",,,,,,,,,,,,,,,,"
"7,""Interna"",""Solicitada"",""Factura"",""TI"",""INGENIERIA E INFORMATICA ASOCIADA"",""79882360-4"",""Teclado"",""1"",""50.000"",,""1"",,,,,,,,,,,,,,,,"
"8,""Interna"",""Solicitada"",""Factura"",""20131"",""prueba"",""11111111-1"",""prueba"",""1"",""100.000"",,""1"",,,,,,,,,,,,,,,,"
"9,""Interna"",""Solicitada"",""Factura"",""TI"",""TURISMO VILLA DEL RIO S.A."",""85499400-K"",""prueba"",""1"",""100.000"",,""1"",,,,,,,,,,,,,,,,"
"10,""Interna"",""Solicitada"",""Factura"",""TI"",""TURISMO VILLA DEL RIO S.A."",""85499400-K"",""prueba"",""1"",""100.000"",,""1"",,,,,,,,,,,,,,,,"
"11,""Interna"",""Solicitada"",""Factura"",""TI"",""PC FACTORY S.A."",""78885550-8"",""Prueba"",""1"",""20.000"",,""1"",,,,,,,,,,,,,,,,"
"12,""Interna"",""Solicitada"",""Factura"",""TI"",""PC FACTORY S.A."",""78885550-8"",""prueba"",""1"",""10.000"",,""1"",,,,,,,,,,,,,,,,"
"13,""Interna"",""Solicitada"",""Boleta de Honorarios"",""TI"",""TURISMO VILLA DEL RIO S.A."",""85499400-K"",""PRUEBA"",""1"",""130.000"",,""1"",,,,,,,,,,,,,,,,"
"14,""Interna"",""Solicitada"",""Factura"",""Diseño"",""TURISMO VILLA DEL RIO S.A."",""85499400-K"",""prueba"",""1"",""100.000"",,""1"",,,,,,,,,,,,,,,,"
"15,""Interna"",""Solicitada"",""Factura"",""TI"",""prueba"",""11111111-1"",""prueba"",""1"",""123.456"",,""1"",,,,,,,,,,,,,,,,"
"16,""Interna"",""Solicitada"",""Factura"",""TI"",""Prueba"",""11111111-1"",""Prueba"",""1"",""100.000"",,""1"",,,,,,,,,,,,,,,,"
"17,""Interna"",""Solicitada"",""Boleta de Honorarios"",""Finanzas General"",""CANALES CORPORATIVOS NICOLÁS"",""76346115-7"",""prueba"",""1"",""100.000"",,""1"",,,,,,,,,,,,,,,,"
"18,""Interna"",""Solicitada"",""Factura"",""TI"",""TRAVEL SECURITY S.A."",""85633900-9"",""prueba"",""1"",""100.000"",,""1"",,,,,,,,,,,,,,,,"
"19,""Interna"",""Solicitada"",""Factura"",""TI"",""PC FACTORY S.A."",""78885550-8"",""Mouse"",""10"",""300.000"",,""1"",,,,,,,,,,,,,,,,"
"20,""Interna"",""Solicitada"",""Factura"",""Gestión de Clientes"",""TURISMO VILLA DEL RIO S.A."",""85499400-K"",""prueba"",""1"",""1.000.000"",,""1"",,,,,,,,,,,,,,,,"
"21,""Unidad de negocio"",""Solicitada"",""Factura"",,""LINQ SPA"",""76584218-2"",""prueba"",""1"",""100.000"",,""1"",,,,,,,""Elisabet Cayuleo"",""GD"",""OR"",""prueba"",""a@a"",""12"",,,,"
"22,""Cliente"",""Solicitada"",""Factura Exenta"",,""ESCUELA DE CONDUCTORES AUTOMOVIL CL"",""77323230-K"",""prueba"",""1"",""102.938"",,""1"",""Servi All S.A"",""13231"",""03-07-2025"",""03-07-2025"",""2"",""31231231"",,,,,,,,,,"
"23,""Unidad de negocio"",""Solicitada"",""Factura"",,""TURISMO VILLA DEL RIO S.A."",""85499400-K"",""prueba"",""123"",""1.234.512"",,""1"",,,,,,,""Lorena Isla"",""DI"",""OT"",""prueba"",""a@a.cl"",""1231"",,,,"
"24,""Unidad de negocio"",""Solicitada"",""Boleta de Honorarios"",,""LINQ SPA"",""76584218-2"",""Prueba"",""1"",""12.344.551"",,""1"",,,,,,,""Lorena Isla"",""GD"",""OR"",""prueba"",""a@a"",""12"",,,,"
